score,timeframe,best_architecture,val_accuracy,val_log_loss,val_f1
quality,profit_1m,"(32,)",0.5370638312190854,,
quality,profit_3m,"(128,)",0.5510279619098893,,
quality,profit_6m,"(256, 64, 16)",0.5507924223560685,,
quality,profit_1y,"(256,)",0.5792927083683839,,
quality,profit_2y,"(256, 128)",0.6296645243783439,,
quality,profit_5y,"(64, 64)",0.5966889868434335,,
growth,profit_1m,"(128,)",0.52646455129715,,
growth,profit_3m,"(64, 32, 16)",0.5501194522022949,,
growth,profit_6m,"(512, 256, 128)",0.5810760792758841,,
growth,profit_1y,"(256, 128, 64, 32)",0.580335812106733,,
growth,profit_2y,"(64,)",0.5492445910023891,,
growth,profit_5y,"(256, 128, 64, 32)",0.6148255324876342,,
value,profit_1m,"(16,)",0.6069854301961708,,
value,profit_3m,"(128,)",0.5415727312493691,,
value,profit_6m,"(128, 64, 32, 16)",0.5320502035734715,,
value,profit_1y,"(256, 128)",0.5542245701403142,,
value,profit_2y,"(32,)",0.5567145597092769,,
value,profit_5y,"(256, 64, 16)",0.5735051650459302,,
dividend,profit_1m,"(16,)",0.5330933073118207,,
dividend,profit_3m,"(16,)",0.5432551566338033,,
dividend,profit_6m,"(64, 32, 16)",0.535515999865406,,
dividend,profit_1y,"(64,)",0.5332615498502642,,
dividend,profit_2y,"(16,)",0.5621992664625324,,
dividend,profit_5y,"(128, 64, 32)",0.5361889700191796,,
