score,timeframe,best_architecture,val_accuracy,val_log_loss,val_f1
quality,profit_1m,"(128,)",0.5340346534653465,0.6917179586716063,0.5328366225654803
quality,profit_3m,"(128,)",0.5563118811881188,0.6918872763074653,0.5521734860516615
quality,profit_6m,"(128,)",0.5439356435643564,0.7045343066234513,0.5422572092930882
quality,profit_1y,"(32,)",0.5470297029702971,0.7096426458077651,0.5315082607308266
quality,profit_2y,"(64,)",0.5464108910891089,0.7690844433422321,0.5477884891614748
quality,profit_5y,"(16,)",0.5358910891089109,0.8878783492687862,0.5203337828652613
growth,profit_1m,"(128,)",0.5402227722772277,0.6919045817036785,0.5378447561514951
growth,profit_3m,"(128,)",0.5637376237623762,0.6884700739382318,0.5615814648274906
growth,profit_6m,"(16,)",0.5544554455445545,0.6999107212087134,0.5540825780540879
growth,profit_1y,"(128,)",0.5754950495049505,0.6891577418328219,0.5750607936551105
growth,profit_2y,"(128,)",0.6318069306930693,0.678861609005409,0.6324213785757519
growth,profit_5y,"(128,)",0.5563118811881188,0.9165432090037064,0.5486894823539118
value,profit_1m,"(128,)",0.6466584158415841,0.6377706342984386,0.6464863805940678
value,profit_3m,"(16,)",0.6738861386138614,0.6166836673755443,0.6738093319181869
value,profit_6m,"(64,)",0.6714108910891089,0.6129084742423644,0.6713153697920129
value,profit_1y,"(32,)",0.6726485148514851,0.6159270742588479,0.6658171812496062
value,profit_2y,"(64,)",0.6676980198019802,0.6532419914022392,0.6685230253794241
value,profit_5y,"(128,)",0.5396039603960396,0.8360479043890874,0.5319226618385523
dividend,profit_1m,"(128,)",0.5266089108910891,0.6953756107562458,0.5264502574956873
dividend,profit_3m,"(16,)",0.5464108910891089,0.6906321295248999,0.5413557182773086
dividend,profit_6m,"(128,)",0.5724009900990099,0.6903937535956862,0.5716464114286172
dividend,profit_1y,"(64,)",0.5581683168316832,0.7183430216552829,0.5505775217259717
dividend,profit_2y,"(16,)",0.5823019801980198,0.7152945730032046,0.5831368682953542
dividend,profit_5y,"(32,)",0.5903465346534653,0.7782832806716552,0.5817999146116097
