score,timeframe,best_architecture,val_t_r2,val_t_rmse,val_t_mae
quality,profit_1m,"(64, 32, 16, 8)",-0.06456338009768015,0.11695707860887143,0.08770998532069732
quality,profit_3m,"(128, 128, 128)",-0.21160708772317038,0.1868219957680318,0.1459325446984655
quality,profit_6m,"(128, 128)",-0.03791875213488427,0.23753648863056975,0.18432718414872784
quality,profit_1y,"(16,)",0.012816578188940775,0.32620938170383157,0.2484910437938201
quality,profit_2y,"(1024, 256, 64)",0.0574187875599117,0.5538859953717112,0.3835703248522177
quality,profit_5y,"(256, 256, 256)",0.2797186096678992,0.7513949731752867,0.4908504686219081
growth,profit_1m,"(1024, 256, 64)",-0.04417319503604089,0.11583159070841446,0.08702429860989688
growth,profit_3m,"(512, 128, 32)",-0.19591295966274247,0.18560808531923037,0.14586434804129714
growth,profit_6m,"(256, 256, 256)",-0.05442840248795067,0.23941822179657937,0.18513142136147456
growth,profit_1y,"(512, 256, 128, 64)",0.017332850534777955,0.32546233751819065,0.24565470283643437
growth,profit_2y,"(256, 64, 16)",0.08632465580294313,0.5453269332055465,0.383670414243695
growth,profit_5y,"(512, 256, 128, 64)",0.31026255071028275,0.7352907313367762,0.4754764369961434
value,profit_1m,"(32,)",0.09939247432065701,0.10757430185804054,0.0794282769562596
value,profit_3m,"(16,)",-0.01644892370884743,0.17111571045835647,0.13299565496273183
value,profit_6m,"(64,)",0.017230216591515246,0.23113970281241786,0.1801853698512912
value,profit_1y,"(64,)",0.03934850220472441,0.32179585999908117,0.24659797393789487
value,profit_2y,"(256, 64, 16)",0.05966152893235577,0.5532266554518087,0.3961342037663125
value,profit_5y,"(256,)",0.19551970621344028,0.7940994465628632,0.5649590452928506
dividend,profit_1m,"(256, 128, 64, 32)",-0.04949959611060528,0.11612664746546623,0.0866393577388772
dividend,profit_3m,"(128, 128)",-0.17324851217608805,0.183840888664651,0.14347989011056508
dividend,profit_6m,"(256, 128, 64, 32)",-0.031371723542540364,0.23678613203069093,0.18713533521506157
dividend,profit_1y,"(256,)",0.014393706820525876,0.3259487007653863,0.24661873349451488
dividend,profit_2y,"(256, 128, 64, 32)",-0.041401519408579945,0.5821971811520652,0.40696283977326125
dividend,profit_5y,"(512, 128, 32)",0.2548217843170042,0.7642707934967877,0.5243648999222673
