score,timeframe,best_architecture,val_t_r2,val_t_rmse,val_t_mae
quality,profit_1m,"(16,)",-0.10107634237286622,0.1205445653868563,0.0891853299531152
quality,profit_3m,"(16,)",-0.2665350742490684,0.19305210210232673,0.14911590364973823
quality,profit_6m,"(16,)",-0.09641605400835873,0.2232912809309901,0.17523495701383346
quality,profit_1y,"(32,)",0.034339425463332574,0.3041653689175941,0.22980928012816815
quality,profit_2y,"(64,)",0.0994931547494603,0.5221672621951879,0.36667978977494914
quality,profit_5y,"(64,)",0.2804547114429182,0.7158223512112913,0.49090024636815305
growth,profit_1m,"(16,)",-0.0713407973277489,0.11890571847674361,0.08853445440478663
growth,profit_3m,"(16,)",-0.2477621371633636,0.19161602462580957,0.14838184283747735
growth,profit_6m,"(16,)",-0.14031685336764355,0.22771772880677613,0.17896250654032578
growth,profit_1y,"(16,)",-0.039709917211398604,0.31561207344413117,0.2343209017805734
growth,profit_2y,"(64,)",0.11482558683091182,0.5177028507336502,0.3598800337470162
growth,profit_5y,"(64,)",0.23612940629574852,0.7375408572586855,0.48751373208923887
value,profit_1m,"(16,)",0.10229729271573373,0.108844173815095,0.07919693935849494
value,profit_3m,"(16,)",-0.06472690664950664,0.17700479806040112,0.13596054891393497
value,profit_6m,"(64,)",-0.013241500995219813,0.21465477652738343,0.16694784227637607
value,profit_1y,"(16,)",0.00043814624794935586,0.30945845435323277,0.23461612583354682
value,profit_2y,"(64,)",0.10717324361367542,0.5199358087499724,0.3737254475875408
value,profit_5y,"(64,)",0.22739768199032007,0.7417442551721625,0.5205730086028112
dividend,profit_1m,"(16,)",-0.06309145110180792,0.118447045580999,0.0877326547572625
dividend,profit_3m,"(16,)",-0.23164652669606856,0.1903745840836144,0.14816210120942083
dividend,profit_6m,"(16,)",-0.08223503559333811,0.22184255927053076,0.1746920548502158
dividend,profit_1y,"(64,)",-0.028832430598207948,0.3139567595217783,0.23185742541139842
dividend,profit_2y,"(64,)",-0.024408381994010853,0.5569326669535577,0.39418065908531663
dividend,profit_5y,"(64,)",0.23582239014631845,0.7376890591976004,0.5149775302217111
